Niche,Channel,Subs,AvgViews,OutlierScore,Patterns,URL
Restoration Videos,MW Restoration,423000,2222471,5.25,"#Restoration, #VintageEra, #ImpossibleChallenge, #RetroGaming",https://www.youtube.com/channel/UCRVQnEnQzkhXZ4YiOvKk_TQ
Blacksmithing,Femboy Blacksmithing,4290,6773,1.58,"#FemboyPersona, #ForgingProcess, #FirstTimeExperience, #SpecificPropRecreation, #CraftingSubculture",https://www.youtube.com/channel/UC6zaRdY2Nzt1jpwoSirf4Mg
Mechanical Engineering,Sabin Mechanical Engineering,39100,197255,5.04,"#GeniusInnovation, #ShockFactor, #WithProof, #HowItWorks, #SuperlativeClaims, #CuriosityGap",https://www.youtube.com/channel/UCxmCYDpMjQECGVaOlz2tMAA
Quantum Physics Explained,QUANTUM PHYSICS DOCUMENTARY,1400,29868,21.33,"#Documentary, #QuantumPhysics, #BracketedKeywords, #SecretsOf, #AuthorityAssociation, #YearInTitle, #QualityTags, #ScientificDiscovery",https://www.youtube.com/channel/UCCHcUi2csiPbErbkazXM_aw
Ancient History,FD Ancient History,78300,120182,1.53,"#PartSeries, #EpisodeNumbered, #BrandingSuffix, #ChronologicalProgression, #ThematicCollection",https://www.youtube.com/channel/UC-Qu-P0n2wMdie2rVIcCTdg
Survival Skills,@SURVIVAL Skills​,5140,27797,5.41,"#SmartAndUseful, #SimpleAndUseful, #SurvivalSkills, #AmazingReveal, #WithObjectFocus",https://www.youtube.com/channel/UC_MVUqL0csxhHxw3PLVLrqg
Survival Skills,Bushcraft Survival Skills,53700,180513,3.36,"#FirstPersonBuild, #ExtremeSurvival, #SecretReveal, #ImpossibleChallenge, #HighStakesNarrative, #TimeLapseBuild, #SurvivalEndurance, #ExtremeConditions, #HiddenShelter, #BushcraftAuthority",https://www.youtube.com/channel/UCpvuExi7lGZ8RYtS-3Q8Rtw
Chess Strategy,Strategy Chess,34900,104899,3.01,"#TheBest, #ChessEdit, #WhenThe, #EmotionalHyperbole, #HowIMake, #TutorialStyle",https://www.youtube.com/channel/UCdgolnTQk7IznS_JFAsR1Kg
Chess Strategy,ChessPage1,627000,971844,1.55,"#SkillGap, #Domination, #DefinitiveGuide, #Scarcity, #Superlative, #Educational",https://www.youtube.com/channel/UCO2QPmnJFjdvJ6ch-pe27dQ
Digital Nomad Life,Digital Nomad India,56400,125481,2.22,"#NegationReframing, #PhilosophicalInsight, #VibeAesthetic, #SocialImpact, #LocationCentric, #CulturalNarrative, #CategorySuffix",https://www.youtube.com/channel/UCwV9uRZu5IiaCU5VE4YFvgA
Web Development,Lukas | Web Development & Design,24000,93806,3.91,"#TheNEW, #FinallyHere, #NoMore, #ProTips, #IWishIKnewEarlier, #TheFASTWay, #TutorialForBeginners, #WhatYOUNeedToKnow, #YearSpecific, #StackSpecific",https://www.youtube.com/channel/UCjIbWZ__2Z_cd8PO6C81gyA
Pixel Art,pixel art ideas,4320,12306,2.85,"#PixelArtIdea, #CharacterSpecific, #TemplateStructure, #ParentheticalDetail",https://www.youtube.com/channel/UCm2iFDnf1Ie0cMmeWFM-aug
Photography Tips,Ms Artistry Photography Tips ,3220,5316,1.65,"#InOneMinute, #ShootLikeAPro, #NumberedTechniques, #SkillTransformation, #TechniqueGuide",https://www.youtube.com/channel/UCJPK73G_1FgUjN230Rwb1ag
DJing,DJ Anemia,39600,7848465,198.19,"#OfficialVisualizer, #MultiArtistCollaboration, #ParentheticalMetadata, #AestheticCasing, #SlowedEffect",https://www.youtube.com/channel/UC8bABp4tM-6eyA-LgQp9Cig
DJing,DJ Khaled - Topic,41400,192644,4.65,"#Exclusivity, #GroupIdentity, #PersonalBond, #CuriosityGap, #MinimalistStructure",https://www.youtube.com/channel/UCF_sh7efmoosuGZVYWzryiQ
DJing,DJ BEKA KZ ,30200,72132,2.39,"#RecencyLabeling, #VisualBranding, #EmojiEngagement, #VibeValidation, #MedleyFormat, #FreshRemixBait",https://www.youtube.com/channel/UC09pyV2yCed87ei0aA4mA2w
DJing,Storm DJs,31000,64403,2.08,"#NewReleaseAnnouncement, #MoodVideoFormat, #CollaborativeCredit, #VersionSpecifier, #ReleaseStatusUpdate, #SeasonalTheme",https://www.youtube.com/channel/UCwG72_o6tcLg1tmtfL29hxQ
Voice Acting,ChrisGreenfieldVA,22600,179176,7.93,"#DirectChallenge, #SkillVerification, #ArchetypeFocus, #EmotionalPrompt, #ChallengeFormat",https://www.youtube.com/channel/UCmRkp_g_TlVowYR3DMyTAzA
Linguistics,Authentic Linguistics ,7320,43861,5.99,"#GuessingChallenge, #Versus, #LanguageComparison, #Trivia, #EducationalShorts",https://www.youtube.com/channel/UCIGzs1kIYTv_tDcNfUVCT7g
Psychology,JCS - Criminal Psychology,5630000,10424265,1.85,"#PsychologicalProfiling, #BehavioralAnalysis, #DramaticIrony, #ExtremeConsequences, #InstructionalHook, #NarrativeAmbiguity",https://www.youtube.com/channel/UCYwVxWpjeKFWwu8TML-Te9A
Astronomy,J.W.Astronomy,341000,1071006,3.14,"#LiveStream, #WeatherBalloon, #SpaceExploration, #POV, #Astrophotography, #Compilation",https://www.youtube.com/channel/UC4LFmDVPdiNQmXUJKptAxXA
Permaculture,Permaculture Autonomiste,1370,2688,1.96,"#DIY, #SystèmeD, #GardenProject, #HomeRestoration, #EcoLiving, #PracticalHacks, #Transformation",https://www.youtube.com/channel/UCLqH3CdFkxesXpYt7Isg0nA
Fermentation,Fermentation Nation,23000,60679,2.64,"#HistoricalRecreation, #AncientAuthenticity, #TestingHistory, #AncientSecrets, #TheOldestRecipe, #ForgottenTechniques, #ExperimentalArchaeology, #AncientTechnology, #HistoricalMystery, #SuperlativeHistory",https://www.youtube.com/channel/UCWNorCKNWV77jGA5hHJtJgg
Coffee Brewing,Something's Brewing,15200,39854,2.62,"#ProductShowcase, #BenefitDriven, #AspirationalLifestyle, #BrandCentric, #ExperienceFocused, #PositiveFraming, #SophisticationAppeal",https://www.youtube.com/channel/UCAoz-J9k0Y5eliR2IouPRPg
